,0
1212,55089500
1213,83689400
1214,115529000
1215,26130100
1216,17385800
1217,155246000
1218,57042100
1219,45436700
1220,17993200
1221,143544992
1222,17816200
1223,38177500
1224,281430016
1225,22163200
1226,108338000
1227,27516000
1228,21346500
1229,38362800
1230,118822000
1231,8996270
1232,104537000
1233,276532992
1234,50461600
1235,52728100
1236,26493300
1237,152982000
1238,82295400
1239,40343600
1240,12947000
1241,17694600
1242,142044000
1243,32381600
1244,59613100
1245,132249000
1246,274617984
1247,7730820
1248,24426000
1249,25074400
1250,31525600
1251,38247200
1252,49003200
1253,131601000
1254,532960000
1255,49700000
1256,74900000
1257,48579000
1258,58879500
1259,25701100
1260,307691008
1261,119659000
1262,956449984
1263,88066000
1264,20178500
1265,17857700
1266,45789900
1267,280435008
1268,193216992
1269,29182200
1270,10834800
1271,245228992
1272,39756400
1273,37793900
1274,35103600
1275,48770800
1276,47313300
1277,21427100
1278,14472500
1279,754948992
1280,53837200
1281,239402000
1282,78864096
1283,68081600
1284,112206000
1285,28371700
1286,33988800
1287,145156000
1288,40991700
1289,134623008
1290,46902000
1291,38370500
1292,101421000
1293,203062000
1294,39217800
1295,146176992
1296,72167800
1297,124315000
1298,589385984
1299,97146200
1300,763729984
1301,146039008
1302,28647500
1303,29303200
1304,333617984
1305,297996000
1306,46032700
1307,993124992
1308,114280000
1309,141535008
1310,58678900
1311,63495700
1312,27074000
1313,324220992
1314,263755008
1315,54115400
1316,346900000
1317,31290100
1318,60143200
1319,75483000
1320,28742500
1321,42137800
1322,20584600
1323,16205200
1324,55237900
1325,8294800
1326,34108000
1327,25529900
1328,743515008
1329,244696000
1330,72212600
1331,18171900
1332,23056900
1333,55357700
1334,85412400
1335,48512100
1336,63054500
1337,15429200
1338,138188000
1339,40253500
1340,161896992
1341,1340169984
1342,200384000
1343,35374500
1344,71803600
1345,37091500
1346,33039100
1347,909107008
1348,42713300
1349,10533600
1350,29035000
1351,34668400
1352,24969000
1353,492691008
1354,49131200
1355,24149500
1356,39588700
1357,36840400
1358,168419008
1359,71184496
1360,28523300
1361,86853696
1362,55310000
1363,147328000
1364,44359900
1365,41075900
1366,32823500
1367,43235700
1368,123641000
1369,13775300
1370,54871400
1371,37910200
1372,58770200
1373,56952100
1374,62241400
1375,19334100
1376,7777010
1377,5700650
1378,506119008
1379,39231700
1380,63943500
1381,55337800
1382,84455296
1383,135567008
1384,97883104
1385,34173800
1386,33283800
1387,8260230
1388,1858370048
1389,50807700
1390,34277400
1391,
1392,59200000
1393,30602900
1394,42793100
1395,379020000
1396,16424200
1397,18965000
